Tue 28 Mar 2023 01:54:31 AM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 PING 10.100.3.254 (10.100.3.254) 56(84) bytes of data.
Tue 28 Mar 2023 01:54:31 AM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=1 ttl=255 time=59.4 ms
Tue 28 Mar 2023 01:54:32 AM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=2 ttl=255 time=69.9 ms
Tue 28 Mar 2023 01:54:33 AM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=3 ttl=255 time=12.4 ms
Tue 28 Mar 2023 01:54:34 AM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=4 ttl=255 time=63.2 ms
Tue 28 Mar 2023 01:54:35 AM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=5 ttl=255 time=4.50 ms
Tue 28 Mar 2023 01:54:36 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=6 ttl=255 time=10.4 ms
Tue 28 Mar 2023 01:54:37 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=7 ttl=255 time=11.7 ms
Tue 28 Mar 2023 01:54:38 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=8 ttl=255 time=6.70 ms
Tue 28 Mar 2023 01:54:39 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=9 ttl=255 time=18.6 ms
Tue 28 Mar 2023 01:54:40 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=10 ttl=255 time=4.75 ms
Tue 28 Mar 2023 01:54:41 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=11 ttl=255 time=27.2 ms
Tue 28 Mar 2023 01:54:42 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=12 ttl=255 time=7.78 ms
Tue 28 Mar 2023 01:54:43 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=13 ttl=255 time=8.46 ms
Tue 28 Mar 2023 01:54:44 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=14 ttl=255 time=3.42 ms
Tue 28 Mar 2023 01:54:45 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=15 ttl=255 time=10.8 ms
Tue 28 Mar 2023 01:54:46 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=16 ttl=255 time=6.38 ms
Tue 28 Mar 2023 01:54:47 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=17 ttl=255 time=15.4 ms
Tue 28 Mar 2023 01:54:48 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=18 ttl=255 time=5.79 ms
Tue 28 Mar 2023 01:54:49 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=19 ttl=255 time=24.5 ms
Tue 28 Mar 2023 01:54:50 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=20 ttl=255 time=10.4 ms
Tue 28 Mar 2023 01:54:51 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=21 ttl=255 time=7.50 ms
Tue 28 Mar 2023 01:54:52 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=22 ttl=255 time=6.17 ms
Tue 28 Mar 2023 01:54:53 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=23 ttl=255 time=10.4 ms
Tue 28 Mar 2023 01:54:54 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=24 ttl=255 time=7.16 ms
Tue 28 Mar 2023 01:54:55 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=25 ttl=255 time=7.45 ms
Tue 28 Mar 2023 01:54:56 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=26 ttl=255 time=14.2 ms
Tue 28 Mar 2023 01:54:57 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=27 ttl=255 time=11.3 ms
Tue 28 Mar 2023 01:54:58 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=28 ttl=255 time=4.02 ms
