Tue 28 Mar 2023 01:54:41 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 PING 10.12.7.254 (10.12.7.254) 56(84) bytes of data.
Tue 28 Mar 2023 01:54:41 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=1 ttl=255 time=3.88 ms
Tue 28 Mar 2023 01:54:42 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=2 ttl=255 time=8.88 ms
Tue 28 Mar 2023 01:54:43 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=3 ttl=255 time=4.94 ms
Tue 28 Mar 2023 01:54:44 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=4 ttl=255 time=3.34 ms
Tue 28 Mar 2023 01:54:45 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=5 ttl=255 time=16.1 ms
Tue 28 Mar 2023 01:54:46 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=6 ttl=255 time=21.0 ms
Tue 28 Mar 2023 01:54:47 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=7 ttl=255 time=3.71 ms
Tue 28 Mar 2023 01:54:48 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=8 ttl=255 time=8.21 ms
Tue 28 Mar 2023 01:54:49 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=9 ttl=255 time=6.35 ms
Tue 28 Mar 2023 01:54:50 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=10 ttl=255 time=8.46 ms
Tue 28 Mar 2023 01:54:51 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=11 ttl=255 time=3.61 ms
Tue 28 Mar 2023 01:54:52 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=12 ttl=255 time=10.9 ms
Tue 28 Mar 2023 01:54:53 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=13 ttl=255 time=16.8 ms
Tue 28 Mar 2023 01:54:54 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=14 ttl=255 time=2.56 ms
Tue 28 Mar 2023 01:54:55 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=15 ttl=255 time=6.80 ms
Tue 28 Mar 2023 01:54:56 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=16 ttl=255 time=3.35 ms
Tue 28 Mar 2023 01:54:57 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=17 ttl=255 time=11.8 ms
Tue 28 Mar 2023 01:54:58 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=18 ttl=255 time=5.97 ms
Tue 28 Mar 2023 01:54:59 AM CST signal:-39 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=19 ttl=255 time=7.00 ms
Tue 28 Mar 2023 01:55:00 AM CST signal:-40 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=20 ttl=255 time=11.8 ms
Tue 28 Mar 2023 01:55:01 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=21 ttl=255 time=4.75 ms
Tue 28 Mar 2023 01:55:02 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=22 ttl=255 time=10.1 ms
Tue 28 Mar 2023 01:55:03 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=23 ttl=255 time=17.8 ms
Tue 28 Mar 2023 01:55:04 AM CST signal:-42 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=24 ttl=255 time=13.3 ms
Tue 28 Mar 2023 01:55:05 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=25 ttl=255 time=13.4 ms
Tue 28 Mar 2023 01:55:06 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=26 ttl=255 time=32.3 ms
Tue 28 Mar 2023 01:55:07 AM CST signal:-42 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=27 ttl=255 time=22.7 ms
Tue 28 Mar 2023 01:55:08 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=28 ttl=255 time=16.7 ms
Tue 28 Mar 2023 01:55:09 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=29 ttl=255 time=18.7 ms
Tue 28 Mar 2023 01:55:10 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=30 ttl=255 time=49.4 ms
Tue 28 Mar 2023 01:55:11 AM CST signal:-42 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=31 ttl=255 time=5.55 ms
Tue 28 Mar 2023 01:55:12 AM CST signal:-42 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=32 ttl=255 time=28.7 ms
Tue 28 Mar 2023 01:55:13 AM CST signal:-42 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=33 ttl=255 time=18.6 ms
Tue 28 Mar 2023 01:55:14 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=34 ttl=255 time=19.3 ms
Tue 28 Mar 2023 01:55:15 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=35 ttl=255 time=20.1 ms
Tue 28 Mar 2023 01:55:16 AM CST signal:-42 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=36 ttl=255 time=13.7 ms
Tue 28 Mar 2023 01:55:17 AM CST signal:-42 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=37 ttl=255 time=32.4 ms
Tue 28 Mar 2023 01:55:18 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=38 ttl=255 time=11.9 ms
Tue 28 Mar 2023 01:55:19 AM CST signal:-41 bssid:e8:13:6e:f6:82:d0 freq:5220 64 bytes from 10.12.7.254: icmp_seq=39 ttl=255 time=10.5 ms
